facility_id,facility_name,crowd_level,conditions,n_conditions,risk_score,risk_level,risk_icon,p_emergency,p_sev_경증,p_sev_중등증,p_sev_중증,staff,equipment,actions,escalation,fac_note
F01,오토캠핑장A,여유,없음,0,0.0349,관찰,🔵,0.028,0.8766,0.1043,0.019,순찰 요원 1명,"구급함, 무전기",일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검,기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,폭염,1,0.0416,관찰,🔵,0.028,0.5852,0.093,0.3218,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천,1,0.0356,관찰,🔵,0.028,0.7984,0.1861,0.0155,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,한파,1,0.1541,위험,🔴,0.0969,0.1725,0.5412,0.2863,대응팀장 1명 + 응급처치 요원 2명 이상,"AED, 들것, 응급의약품, 무전기, 안전펜스","응급 대응팀 즉시 현장 파견 | 응급 장비 준비 (AED, 들것, 응급의약품 키트) | 방문객 안전구역 유도 및 해당 시설 일시 폐쇄 검토 | 119 사전 연락 및 대기 지시 | 관리자·시설장 즉시 보고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",P(중증) > 0.30 → 119 즉시 출동 요청 / 의식 불명 → 헬기 이송 검토,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍,1,0.038,관찰,🔵,0.028,0.5567,0.3985,0.0448,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간,1,0.036,관찰,🔵,0.028,0.8369,0.0949,0.0682,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,피크타임,1,0.0368,관찰,🔵,0.028,0.8088,0.0808,0.1103,순찰 요원 1명,"구급함, 무전기",일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검,기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|폭염,2,0.0395,관찰,🔵,0.028,0.6967,0.0704,0.2329,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,폭염|한파,2,0.0416,관찰,🔵,0.028,0.5852,0.093,0.3218,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|폭염,2,0.0416,관찰,🔵,0.028,0.5852,0.093,0.3218,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
